gene_id,score
Os01g0106600,99.99817
Os09g0443200,99.99817
Os11g0665600,99.99817
Os02g0299850,99.99817
Os12g0110700,99.99817
Os07g0456000,99.99817
Os11g0681100,99.99817
Os06g0121200,99.99817
Os06g0302650,99.99817
Os02g0297200,99.99817
Os07g0116300,99.99817
Os09g0111500,99.99817
Os11g0617200,99.99817
Os04g0328900,99.99817
Os06g0185966,99.99817
Os01g0143650,99.99817
Os02g0543500,99.99817
Os04g0317400,99.99817
Os01g0143600,99.99817
Os12g0187200,99.99817
Os06g0331150,99.99817
Os02g0228300,99.99817
Os09g0114632,99.99817
Os12g0535400,99.99817
Os01g0335550,99.99817
Os01g0336701,99.99817
Os07g0289600,99.99817
Os01g0335600,99.99817
Os05g0362000,99.99817
Os05g0136450,99.99817
Os01g0316900,99.99817
Os11g0171000,99.99817
Os07g0283600,99.99817
Os01g0336300,99.99817
Os10g0450100,99.99817
Os11g0617700,99.99817
Os06g0663300,99.99817
Os01g0344900,99.99817
Os03g0213600,99.99816
Os08g0273966,99.99815
Os01g0143400,99.99815
Os03g0108800,99.99815
Os09g0425300,99.998146
Os10g0457700,99.99814
Os10g0474600,99.99814
Os12g0152500,99.99814
Os04g0684800,99.99814
Os05g0590100,99.99814
Os04g0227000,99.99814
Os08g0488100,99.99814
Os03g0570200,99.99814
Os03g0142200,99.99814
Os03g0140900,99.99812
Os10g0214400,99.99812
Os09g0565150,99.99812
Os06g0104800,99.99812
Os02g0469200,99.99812
Os10g0349800,99.99812
Os06g0662800,99.99812
Os11g0561100,99.99812
Os01g0522800,99.99812
Os06g0589800,99.998116
Os05g0132400,99.998116
Os10g0462800,99.99811
Os01g0693100,99.99811
Os05g0549500,99.99811
Os05g0549400,99.99811
Os01g0570800,99.99811
Os06g0692500,99.99811
Os05g0549300,99.99811
Os11g0167300,99.99811
Os03g0197300,99.99811
Os03g0250301,99.99811
Os03g0440200,99.99811
Os12g0217400,99.9981
Os01g0367300,99.9981
Os01g0161300,99.9981
Os11g0108000,99.9981
Os04g0424200,99.9981
Os12g0107800,99.9981
Os10g0150000,99.9981
Os03g0254200,99.9981
Os01g0500500,99.9981
Os11g0233000,99.9981
Os10g0149100,99.9981
Os07g0484900,99.9981
Os07g0107800,99.9981
Os12g0221700,99.9981
Os07g0273150,99.99809
Os03g0439900,99.99809
Os12g0488300,99.99809
Os08g0520850,99.99809
Os12g0107866,99.99809
Os03g0120800,99.99808
Os04g0619700,99.99808
Os08g0315200,99.99808
Os01g0920300,99.99808
Os08g0446200,99.99808
Os01g0551700,99.99808
Os06g0704500,99.99807
Os12g0218500,99.99807
Os11g0578700,99.99807
Os04g0589300,99.99807
Os02g0550900,99.99807
Os08g0565700,99.99807
Os01g0909600,99.99807
Os05g0326663,99.99807
Os10g0149400,99.99807
Os01g0879850,99.99806
Os05g0114500,99.99806
Os02g0736800,99.99806
Os08g0504600,99.99806
Os07g0211900,99.998055
Os05g0223500,99.998055
Os05g0160000,99.99805
Os02g0203000,99.99805
Os01g0742400,99.99805
Os08g0449100,99.99805
Os01g0819500,99.99805
Os01g0649400,99.99803
Os07g0236700,99.998024
Os06g0176900,99.99801
Os03g0251000,99.99801
Os08g0280600,99.99801
Os05g0227600,99.99801
Os01g0692300,99.99801
Os06g0343700,99.99801
Os10g0525700,99.99801
Os06g0343900,99.99801
Os06g0304050,99.99801
Os01g0160600,99.99799
Os07g0468500,99.99799
Os01g0604150,99.99799
Os06g0643000,99.99799
Os03g0388366,99.99799
Os06g0186100,99.997986
Os03g0387300,99.997986
Os06g0551800,99.997986
Os02g0316900,99.997986
Os02g0824300,99.997986
Os02g0689800,99.997986
Os09g0114700,99.99798
Os07g0631900,99.99798
Os02g0154000,99.99797
Os02g0137200,99.99797
